CO_CURSO,NO_CURSO
1203321,RELACÕES INTERNACIONAIS
1203323,ENGENHARIA AGRONOMICA
1204182,EDUCACAO FISICA
1279265,CIENCIAS BIOLOGICAS
1283883,GESTAO AMBIENTAL
1321966,ODONTOLOGIA
1349104,ENGENHARIA MECANICA
1382673,BIOMEDICINA
1382674,MODA
27540,ADMINISTRACAO PUBLICA
32885,ADMINISTRACAO
4760,CIENCIAS CONTABEIS
4809,MUSICA
28042,MUSICA
55657,MUSICA
82504,MUSICA
85090,MUSICA
85094,MUSICA
1323048,PEDAGOGIA
1323193,EDUCACAO FISICA
1323194,EDUCACAO FISICA
1323709,MUSICA   MUSICA POPULAR BRASILEIRA
1323712,HISTORIA
1323718,SERVICO SOCIAL
1324552,ENFERMAGEM
1330078,LETRAS   INGLES
1330096,NUTRICAO
1330105,NUTRICAO
1330108,ARQUITETURA E URBANISMO
1330109,FISIOTERAPIA
1330120,FISIOTERAPIA
1330125,ENFERMAGEM
1330126,ENGENHARIA CIVIL
1330127,ENGENHARIA DE PRODUCAO
1330129,MUSICA   MUSICA POPULAR BRASILEIRA
1330130,NUTRICAO
1330131,EDUCACAO FISICA
1330132,EDUCACAO FISICA
1330133,ENFERMAGEM
1330134,FISIOTERAPIA
1330135,GESTAO DE RECURSOS HUMANOS
1330136,HISTORIA
1330137,LETRAS   INGLES
1330139,MARKETING
1330140,MATEMATICA
1330141,MUSICA   MUSICA POPULAR BRASILEIRA
1330142,PEDAGOGIA
1330144,SERVICO SOCIAL
1330198,BIOMEDICINA
1330199,ENFERMAGEM
1330200,GESTAO DE RECURSOS HUMANOS
1330205,MUSICA   MUSICA POPULAR BRASILEIRA
1330206,NUTRICAO
1330207,SERVICO SOCIAL
1330850,ARQUITETURA E URBANISMO
1330989,ENGENHARIA MECANICA
1330990,ENGENHARIA ELETRICA
1344087,BIOMEDICINA
1344102,SERVICO SOCIAL
1344106,TEOLOGIA
1344107,PEDAGOGIA
1344108,ARQUITETURA E URBANISMO
1344109,ENGENHARIA MECANICA
1344110,ENGENHARIA ELETRICA
1344115,ADMINISTRACAO
1344116,CIENCIAS CONTABEIS
1344124,ENFERMAGEM
1344125,FISIOTERAPIA
1344126,NUTRICAO
1344127,MUSICA   CANTO
1344133,MUSICA   MUSICA POPULAR BRASILEIRA
1344134,PEDAGOGIA
1344135,SERVICO SOCIAL
1344140,ARQUITETURA E URBANISMO
1344141,ENGENHARIA MECANICA
1344142,ENGENHARIA ELETRICA
1344147,CIENCIAS CONTABEIS
1344153,ENFERMAGEM
1344162,MUSICA   MUSICA POPULAR BRASILEIRA
1344167,PEDAGOGIA
1344188,BIOMEDICINA
1344190,ENFERMAGEM
1344191,FISIOTERAPIA
1344201,ARQUITETURA E URBANISMO
1344229,ENGENHARIA MECANICA
1344236,ENGENHARIA ELETRICA
1344279,CIENCIAS CONTABEIS
1344324,BIOMEDICINA
1344326,ENFERMAGEM
1344331,FISIOTERAPIA
1344335,NUTRICAO
1344364,LETRAS   INGLES
1344372,LETRAS   PORTUGUES
1344384,SERVICO SOCIAL
1344413,MUSICA   MUSICA POPULAR BRASILEIRA
1363796,BIOMEDICINA
1363831,FISIOTERAPIA
1363833,EDUCACAO FISICA
1363834,EDUCACAO FISICA
1363835,PEDAGOGIA
1363836,ENGENHARIA MECANICA
1363837,ENGENHARIA ELETRICA
1363929,ENFERMAGEM
1363930,ENFERMAGEM
1363931,ENFERMAGEM
1363937,ENFERMAGEM
1363938,ENFERMAGEM
1364025,SERVICO SOCIAL
1364082,PEDAGOGIA
1364083,MUSICA
1364084,ENGENHARIA CIVIL
1364086,ARQUITETURA E URBANISMO
1364088,ENGENHARIA ELETRICA
1364089,ENGENHARIA MECANICA
1367248,ENFERMAGEM
1374712,NUTRICAO
1374723,FISIOTERAPIA
1374724,NUTRICAO
1374732,FISIOTERAPIA
1374733,NUTRICAO
1374740,BIOMEDICINA
1374741,FISIOTERAPIA
1374742,NUTRICAO
1374747,FISIOTERAPIA
1374748,NUTRICAO
1374750,EDUCACAO FISICA
1374751,EDUCACAO FISICA
1374752,EDUCACAO FISICA
1396135,EDUCACAO FISICA
1396136,EDUCACAO FISICA
1396138,EDUCACAO FISICA
1396139,ENGENHARIA DE PRODUCAO
1396140,MUSICA
1396141,PEDAGOGIA
1396142,EDUCACAO FISICA
1396143,EDUCACAO FISICA
1396144,SERVICO SOCIAL
1397983,MUSICA E TECNOLOGIA
1404269,TEOLOGIA
1404270,MUSICA
1404272,ADMINISTRACAO
1404273,CIENCIAS CONTABEIS
1405181,EDUCACAO FISICA
1405184,EDUCACAO FISICA
1405186,EDUCACAO FISICA
1405681,ARQUITETURA E URBANISMO
1405682,ENGENHARIA ELETRICA
1405683,ENGENHARIA MECANICA
1405690,ENGENHARIA DE PRODUCAO
1405692,EDUCACAO FISICA
1405694,EDUCACAO FISICA
1405696,ARQUITETURA E URBANISMO
1405697,ENGENHARIA ELETRICA
1405700,ENGENHARIA MECANICA
1405701,ENGENHARIA CIVIL
1405704,EDUCACAO FISICA
1405873,ENGENHARIA CIVIL
1427753,MEDICINA VETERINARIA
1442277,ENGENHARIA MECANICA
1442284,ENGENHARIA CIVIL
1442285,ENGENHARIA DE PRODUCAO
1442289,ADMINISTRACAO
1442291,BIOMEDICINA
1442292,FISIOTERAPIA
1442293,NUTRICAO
1442542,ARQUITETURA E URBANISMO
1442543,ENGENHARIA MECANICA
1442544,ENGENHARIA ELETRICA
1442545,ENGENHARIA CIVIL
1442546,ENGENHARIA DE PRODUCAO
1442547,ADMINISTRACAO
1442548,CIENCIAS CONTABEIS
1442549,BIOMEDICINA
1442550,FISIOTERAPIA
1442551,NUTRICAO
1442553,EDUCACAO FISICA
1442555,PEDAGOGIA
1442557,SERVICO SOCIAL
1442558,MUSICA
1446273,ARQUITETURA E URBANISMO
1446274,ENGENHARIA MECANICA
1446275,ENGENHARIA ELETRICA
1446276,ENGENHARIA CIVIL
1446277,ENGENHARIA DE PRODUCAO
1446278,ADMINISTRACAO
1446281,FISIOTERAPIA
1446282,NUTRICAO
1446284,EDUCACAO FISICA
1446286,SERVICO SOCIAL
4836,HISTORIA
4838,PEDAGOGIA
18168,CIENCIAS CONTABEIS
25702,LETRAS   PORTUGUES E INGLES
73596,ANALISE E DESENVOLVIMENTO DE SISTEMAS
87522,FILOSOFIA
105314,REDES DE COMPUTADORES
120112,ADMINISTRACAO
1044756,TEOLOGIA
5000361,LETRAS   ESPANHOL
4848,PEDAGOGIA
4850,CIENCIAS BIOLOGICAS
4851,PSICOLOGIA
18169,ADMINISTRACAO
35166,LETRAS   INGLES
47129,TURISMO
99523,LETRAS   ESPANHOL
304850,CIENCIAS BIOLOGICAS
1172422,GESTAO FINANCEIRA
1173490,GESTAO COMERCIAL
1173504,LOGISTICA
1190949,CIENCIAS CONTABEIS
1190950,GESTAO DE RECURSOS HUMANOS
1330659,GESTAO AMBIENTAL
1385371,NUTRICAO
1396086,DIREITO
4865,PEDAGOGIA
4866,FILOSOFIA
4867,HISTORIA
4869,CIENCIAS CONTABEIS
4870,ADMINISTRACAO
57842,DIREITO
86640,SERVICO SOCIAL
96167,BIBLIOTECONOMIA
1427500,FILOSOFIA
4886,ARTES VISUAIS
4887,ARQUITETURA E URBANISMO
4891,DESIGN DE INTERIORES
24631,COMUNICACAO SOCIAL   PUBLICIDADE E PROPAGANDA
26216,DESIGN GRAFICO
35167,DESIGN DE PRODUTO
49383,RELACÕES INTERNACIONAIS
50055,DESIGN DE MODA
64846,RELACÕES PUBLICAS
75568,COMUNICACAO SOCIAL   RADIALISMO (RADIO E TV)
1177044,FOTOGRAFIA
1205781,JORNALISMO
1258694,DESENHO DE ANIMACAO
1312009,PRODUCAO FONOGRAFICA
1318222,MIDIAS SOCIAIS DIGITAIS
1425024,ARTES CENICAS
4912,PSICOLOGIA
4913,FISIOTERAPIA
4916,HOTELARIA
4918,ADMINISTRACAO
4923,DIREITO
4926,TURISMO
4933,PSICOLOGIA
4938,ENGENHARIA ELETRICA
4940,FISIOTERAPIA
4945,ENGENHARIA ELETRICA
4946,ADMINISTRACAO
4951,RELACÕES INTERNACIONAIS
4953,PSICOLOGIA
4958,DESIGN
4959,MEDICINA VETERINARIA
4960,ARQUITETURA E URBANISMO
4961,DIREITO
4963,SISTEMAS DE INFORMACAO
4964,DIREITO
4965,PSICOLOGIA
4966,FISIOTERAPIA
4971,DESIGN
4972,ADMINISTRACAO
18592,DIREITO
18594,MEDICINA
19302,ADMINISTRACAO
19303,DIREITO
19305,DIREITO
19307,DIREITO
19317,NUTRICAO
19318,SECRETARIADO EXECUTIVO
19325,ADMINISTRACAO
19326,CIENCIAS ECONOMICAS
20907,ADMINISTRACAO
20909,FISIOTERAPIA
20910,PSICOLOGIA
20911,DIREITO
20913,RELACÕES INTERNACIONAIS
21913,PEDAGOGIA
21916,DIREITO
21917,ADMINISTRACAO
21919,PSICOLOGIA
21921,PEDAGOGIA
21922,PSICOLOGIA
21923,FISIOTERAPIA
22216,JORNALISMO
22217,LETRAS   PORTUGUES E INGLES
23220,PUBLICIDADE E PROPAGANDA
24932,PUBLICIDADE E PROPAGANDA
25539,JORNALISMO
28729,JORNALISMO
34595,PUBLICIDADE E PROPAGANDA
40341,ADMINISTRACAO
40345,DIREITO
40513,LETRAS   LINGUA PORTUGUESA
41122,DIREITO
41155,DIREITO
41157,ADMINISTRACAO
41233,LETRAS   LINGUA PORTUGUESA
41240,PEDAGOGIA
41242,SISTEMAS DE INFORMACAO
41251,DIREITO
41253,ADMINISTRACAO
41263,PEDAGOGIA
41266,SISTEMAS DE INFORMACAO
41304,TURISMO
41315,DIREITO
41320,ADMINISTRACAO
41322,PEDAGOGIA
41505,PEDAGOGIA
41507,SISTEMAS DE INFORMACAO
41578,LETRAS   LINGUA PORTUGUESA
41585,MATEMATICA
41980,ENFERMAGEM
41987,FARMACIA
42005,FARMACIA
46683,CIENCIAS AERONAUTICAS
46943,LETRAS   LINGUA PORTUGUESA
49613,SISTEMAS DE INFORMACAO
49636,DIREITO
49690,DIREITO
49695,LETRAS   LINGUA PORTUGUESA
49712,PEDAGOGIA
49723,SISTEMAS DE INFORMACAO
49725,DIREITO
49855,ADMINISTRACAO
49873,PEDAGOGIA
49889,ENFERMAGEM
49897,ENFERMAGEM
49926,JORNALISMO
49930,PUBLICIDADE E PROPAGANDA
49994,ENFERMAGEM
49997,CIENCIAS CONTABEIS
50001,CIENCIAS CONTABEIS
50110,ADMINISTRACAO
50129,LETRAS   LINGUA PORTUGUESA
50139,LETRAS   LINGUA PORTUGUESA
50163,PSICOLOGIA
50210,ADMINISTRACAO
53520,SISTEMAS DE INFORMACAO
55129,ENFERMAGEM
55132,JORNALISMO
55133,PUBLICIDADE E PROPAGANDA
55134,FISIOTERAPIA
55149,MARKETING
55151,ENFERMAGEM
57214,ADMINISTRACAO
57792,DIREITO
58178,ADMINISTRACAO
58435,ENFERMAGEM
58709,ADMINISTRACAO
58711,ADMINISTRACAO
58882,FISIOTERAPIA
59290,PSICOLOGIA
59402,PEDAGOGIA
60302,GASTRONOMIA
60306,GESTAO HOSPITALAR
60310,ANALISE E DESENVOLVIMENTO DE SISTEMAS
60314,REDES DE COMPUTADORES
60318,REDES DE COMPUTADORES
60322,GESTAO DE RECURSOS HUMANOS
63416,ADMINISTRACAO
63420,ADMINISTRACAO
63520,DIREITO
63526,DIREITO
63550,PEDAGOGIA
63556,SISTEMAS DE INFORMACAO
63558,PEDAGOGIA
67666,DIREITO
67668,DIREITO
68456,ADMINISTRACAO
68458,TURISMO
68920,ADMINISTRACAO
69381,SISTEMAS DE INFORMACAO
69386,PEDAGOGIA
70237,PROCESSOS GERENCIAIS
70239,DESIGN GRAFICO
70241,MARKETING
70243,GESTAO DE SEGURANCA PRIVADA
70245,COMERCIO EXTERIOR
70250,GESTAO DE SEGUROS
70253,GESTAO DE TURISMO
70255,GESTAO COMERCIAL
70257,GESTAO AMBIENTAL
70259,GESTAO DA TECNOLOGIA DA INFORMACAO
70261,PETROLEO E GAS
70263,GESTAO FINANCEIRA
70265,EVENTOS
70267,PRODUCAO FONOGRAFICA
70269,LOGISTICA
70274,ANALISE E DESENVOLVIMENTO DE SISTEMAS
70276,GASTRONOMIA
70282,REDES DE TELECOMUNICACÕES
70286,FOTOGRAFIA
70288,DESIGN DE INTERIORES
70291,DESIGN DE MODA
73038,ODONTOLOGIA
73054,DIREITO
73062,SISTEMAS DE INFORMACAO
73064,PEDAGOGIA
73107,JORNALISMO
73108,PUBLICIDADE E PROPAGANDA
73109,MATEMATICA
73111,NUTRICAO
73115,DIREITO
73131,PEDAGOGIA
74746,DIREITO
74748,SISTEMAS DE INFORMACAO
74750,PSICOLOGIA
74758,MATEMATICA
74766,ENGENHARIA DE PRODUCAO
80437,ANALISE E DESENVOLVIMENTO DE SISTEMAS
80447,SISTEMAS PARA INTERNET
80455,DESIGN GRAFICO
80465,MARKETING
80472,MARKETING
80534,GESTAO DE RECURSOS HUMANOS
80536,GESTAO DE RECURSOS HUMANOS
80544,GESTAO DE RECURSOS HUMANOS
80546,GESTAO DE RECURSOS HUMANOS
80552,DESIGN DE MODA
80562,RADIOLOGIA
80564,RADIOLOGIA
80570,REDES DE COMPUTADORES
82804,CIENCIAS CONTABEIS
82817,SERVICO SOCIAL
82819,MARKETING
82830,FISIOTERAPIA
82838,FISIOTERAPIA
82844,ENGENHARIA DE PRODUCAO
82847,ENGENHARIA DE PRODUCAO
82850,ENGENHARIA DE PRODUCAO
82854,ENGENHARIA CIVIL
82860,ENGENHARIA CIVIL
82886,LETRAS   PORTUGUES E INGLES
82968,LETRAS   LINGUA PORTUGUESA
83028,CIENCIAS CONTABEIS
83413,SERVICO SOCIAL
83419,ENGENHARIA ELETRICA
83423,EDUCACAO FISICA
84537,ADMINISTRACAO
84866,ANALISE E DESENVOLVIMENTO DE SISTEMAS
84876,PRODUCAO AUDIOVISUAL
84878,PRODUCAO AUDIOVISUAL
84894,GESTAO DE RECURSOS HUMANOS
84896,GESTAO DE RECURSOS HUMANOS
84899,GESTAO DE RECURSOS HUMANOS
84901,PRODUCAO FONOGRAFICA
84907,REDES DE COMPUTADORES
84912,GESTAO DE RECURSOS HUMANOS
86147,PETROLEO E GAS
86764,LETRAS   PORTUGUES E INGLES
87217,HISTORIA
88724,CINEMA E AUDIOVISUAL
88726,CINEMA E AUDIOVISUAL
90507,AUTOMACAO INDUSTRIAL
90533,GESTAO DA TECNOLOGIA DA INFORMACAO
90537,RADIOLOGIA
90539,DESIGN DE INTERIORES
90541,GESTAO DE RECURSOS HUMANOS
90545,GESTAO DE RECURSOS HUMANOS
90547,GESTAO DE RECURSOS HUMANOS
90549,LOGISTICA
90553,GESTAO DE RECURSOS HUMANOS
90575,GESTAO DE RECURSOS HUMANOS
90579,MARKETING
90582,RADIOLOGIA
91277,ADMINISTRACAO
92208,ADMINISTRACAO
92848,HISTORIA
96034,ENGENHARIA DE PETROLEO
96036,ENGENHARIA DE PETROLEO
96491,ENGENHARIA DE PETROLEO
96493,ENGENHARIA DE PETROLEO
97628,GESTAO AMBIENTAL
97817,GESTAO COMERCIAL
97841,GESTAO DE RECURSOS HUMANOS
98243,GESTAO DE RECURSOS HUMANOS
98253,AUTOMACAO INDUSTRIAL
98261,JOGOS DIGITAIS
98896,LETRAS   PORTUGUES E ESPANHOL
101580,EDUCACAO FISICA
101582,EDUCACAO FISICA
101584,EDUCACAO FISICA
101586,EDUCACAO FISICA
101594,EDUCACAO FISICA
101598,EDUCACAO FISICA
101600,EDUCACAO FISICA
101602,EDUCACAO FISICA
101632,EDUCACAO FISICA
101649,EDUCACAO FISICA
101657,EDUCACAO FISICA
101671,EDUCACAO FISICA
101673,EDUCACAO FISICA
102375,ENFERMAGEM
102400,CIENCIAS BIOLOGICAS
102403,ENFERMAGEM
102406,ENGENHARIA CIVIL
102408,ENGENHARIA DE PETROLEO
102410,ENGENHARIA DE PRODUCAO
102418,ENGENHARIA ELETRICA
102554,ENGENHARIA ELETRICA
102556,FISIOTERAPIA
102569,CIENCIAS BIOLOGICAS
102570,CIENCIAS BIOLOGICAS
102743,TEATRO
102825,MARKETING
102894,ENGENHARIA CIVIL
102987,HISTORIA
102989,ADMINISTRACAO
102991,CIENCIAS CONTABEIS
102993,ENGENHARIA DE PETROLEO
103002,LOGISTICA
103160,RADIOLOGIA
103194,PETROLEO E GAS
103196,RADIOLOGIA
103199,GESTAO DE SEGURANCA PRIVADA
103203,SEGURANCA NO TRABALHO
103209,ANALISE E DESENVOLVIMENTO DE SISTEMAS
106031,ENGENHARIA AMBIENTAL E SANITARIA
108740,PSICOLOGIA
110596,CIENCIAS CONTABEIS
110602,SERVICO SOCIAL
111004,GEOGRAFIA
111136,FARMACIA
111138,ENGENHARIA AMBIENTAL E SANITARIA
111150,CIENCIAS BIOLOGICAS
111152,ENGENHARIA QUIMICA
111162,ENFERMAGEM
111164,CIENCIAS CONTABEIS
111166,HISTORIA
111168,ENGENHARIA DE PETROLEO
111172,ENGENHARIA AMBIENTAL E SANITARIA
111178,ENGENHARIA ELETRICA
111438,GESTAO DE RECURSOS HUMANOS
111440,GESTAO DE RECURSOS HUMANOS
111442,GESTAO DE RECURSOS HUMANOS
111444,GESTAO DE RECURSOS HUMANOS
111462,ADMINISTRACAO
111464,DIREITO
111466,GESTAO AMBIENTAL
111508,CIENCIAS BIOLOGICAS
113885,ENGENHARIA CIVIL
114017,ENGENHARIA DE PRODUCAO
117092,PSICOLOGIA
119822,ENGENHARIA AMBIENTAL E SANITARIA
119824,ENGENHARIA DE PRODUCAO
119862,FARMACIA
119864,CIENCIAS CONTABEIS
120871,DESIGN DE MODA
121297,ADMINISTRACAO
122436,ESTETICA E COSMETICA
123169,PSICOLOGIA
150265,ENGENHARIA DE PRODUCAO
150334,LOGISTICA
1044865,ENFERMAGEM
1106214,LETRAS   PORTUGUES E INGLES
1106215,LETRAS   PORTUGUES E INGLES
1107873,HISTORIA
1113882,LOGISTICA
1115471,CIENCIAS CONTABEIS
1116776,GESTAO DE RECURSOS HUMANOS
1116842,MARKETING
1116879,PEDAGOGIA
1116904,PEDAGOGIA
1117041,ENGENHARIA DE TELECOMUNICACÕES
1117819,TURISMO
1119382,SISTEMAS DE INFORMACAO
1119432,NUTRICAO
1119434,COMERCIO EXTERIOR
1119473,ANALISE E DESENVOLVIMENTO DE SISTEMAS
1119480,GESTAO COMERCIAL
1119481,GESTAO DA TECNOLOGIA DA INFORMACAO
1120063,REDES DE COMPUTADORES
1120695,FOTOGRAFIA
1121204,GESTAO AMBIENTAL
1124348,LOGISTICA
1125905,ENGENHARIA AMBIENTAL E SANITARIA
1125999,LETRAS   LINGUA PORTUGUESA
1126004,SERVICO SOCIAL
1132131,LETRAS   PORTUGUES E INGLES
1135826,PROCESSOS GERENCIAIS
1135828,DESIGN GRAFICO
1139020,GESTAO DA TECNOLOGIA DA INFORMACAO
1140089,SEGURANCA NO TRABALHO
1140358,ENGENHARIA CIVIL
1140397,ENGENHARIA CIVIL
1142086,EDUCACAO FISICA
1142090,LETRAS   PORTUGUES E ESPANHOL
1146670,CIENCIAS CONTABEIS
1146671,ADMINISTRACAO
1146677,GESTAO DE RECURSOS HUMANOS
1147871,ENGENHARIA DE TELECOMUNICACÕES
1150388,LOGISTICA
1150389,CIENCIAS CONTABEIS
1150390,ADMINISTRACAO
1150396,GESTAO DE RECURSOS HUMANOS
1150453,GESTAO AMBIENTAL
1152192,LETRAS   PORTUGUES E INGLES
1152330,FOTOGRAFIA
1152332,AUTOMACAO INDUSTRIAL
1152476,ENGENHARIA CIVIL
1152523,ENGENHARIA AMBIENTAL E SANITARIA
1152612,GESTAO DE RECURSOS HUMANOS
1152834,RELACÕES INTERNACIONAIS
1154048,ENGENHARIA DE PRODUCAO
1155344,TURISMO
1160822,ENGENHARIA ELETRICA
1160830,MATEMATICA
1160839,HISTORIA
1160975,PROCESSOS GERENCIAIS
1161032,ENGENHARIA MECANICA
1161200,NUTRICAO
1161243,ARQUITETURA E URBANISMO
1161357,PROCESSOS GERENCIAIS
1161555,PUBLICIDADE E PROPAGANDA
1161841,GESTAO DA PRODUCAO INDUSTRIAL
1161911,EDUCACAO FISICA
1162387,ENGENHARIA ELETRICA
1163342,ENGENHARIA DE CONTROLE E AUTOMACAO
1163511,PSICOLOGIA
1163580,ENGENHARIA MECANICA
1165113,EDUCACAO FISICA
1174577,GESTAO HOSPITALAR
1174688,GESTAO FINANCEIRA
1174691,GESTAO AMBIENTAL
1175191,GESTAO PUBLICA
1175535,REDES DE COMPUTADORES
1177033,COMERCIO EXTERIOR
1178366,GESTAO COMERCIAL
1182939,GESTAO DE TURISMO
1183559,LETRAS   INGLES
1183632,TEATRO
1183660,GESTAO DE RECURSOS HUMANOS
1183672,EDUCACAO FISICA
1183749,ARQUITETURA E URBANISMO
1183770,ESTETICA
1183780,FONOAUDIOLOGIA
1183836,BIOMEDICINA
1183838,ESTETICA
1183927,CIENCIAS BIOLOGICAS
1184049,JOGOS DIGITAIS
1184092,GESTAO DE RECURSOS HUMANOS
1184923,ARQUITETURA E URBANISMO
1187275,CIENCIAS CONTABEIS
1187334,LOGISTICA
1187354,CIENCIAS CONTABEIS
1187876,ENGENHARIA DE PRODUCAO
1187982,ENGENHARIA DE CONTROLE E AUTOMACAO
1188654,ENGENHARIA CIVIL
1202868,SEGURANCA PUBLICA
1203194,ENGENHARIA CIVIL
1204185,NEGOCIOS IMOBILIARIOS
1205354,CIENCIAS CONTABEIS
1205505,LOGISTICA
1205606,ADMINISTRACAO
1205609,GESTAO DE RECURSOS HUMANOS
1257546,LOGISTICA
1257551,LOGISTICA
1257555,LOGISTICA
1257569,LOGISTICA
1258751,ENGENHARIA MECANICA
1259157,GESTAO DE RECURSOS HUMANOS
1261058,ENGENHARIA CIVIL
1264888,BIOMEDICINA
1269897,ENGENHARIA ELETRICA
1270609,MARKETING
1279416,HISTORIA
1279419,GEOGRAFIA
1279484,LETRAS   INGLES
1285042,ENGENHARIA DE PRODUCAO
1286429,LETRAS   ESPANHOL
1300285,ENGENHARIA CIVIL
1300338,ENGENHARIA DE PRODUCAO
1312997,CIENCIAS CONTABEIS
1313309,LOGISTICA
1317768,ENGENHARIA CIVIL
1317794,ENGENHARIA DE PRODUCAO
1321349,ENFERMAGEM
1322441,EDUCACAO FISICA
1330641,TRANSPORTE TERRESTRE
1353346,NUTRICAO
1353356,BIOMEDICINA
1355582,PEDAGOGIA
1360115,EDUCACAO FISICA
1363843,MEDIACAO
1363845,INVESTIGACAO FORENSE E PERICIA CRIMINAL
1363948,ENGENHARIA DE COMPUTACAO
1363956,CIENCIAS CONTABEIS
1363957,PEDAGOGIA
1363958,MATEMATICA
1363959,HISTORIA
1364006,SERVICO SOCIAL
1364161,ENGENHARIA DE PETROLEO
1364162,ENGENHARIA AMBIENTAL E SANITARIA
1364163,ENGENHARIA DE CONTROLE E AUTOMACAO
1364164,ENGENHARIA ELETRICA
1366236,ODONTOLOGIA
1366330,NUTRICAO
1366347,EDUCACAO FISICA
1367365,PEDAGOGIA
1377613,NUTRICAO
1377615,NUTRICAO
1379672,FOTOGRAFIA
1379813,LOGISTICA
1379814,GESTAO DE RECURSOS HUMANOS
1379816,EDUCACAO FISICA
1379944,NUTRICAO
1380792,ENGENHARIA CIVIL
1380925,BIOMEDICINA
1386580,ENGENHARIA CIVIL
1386581,NUTRICAO
1386587,NUTRICAO
1386784,NUTRICAO
1399345,EDUCACAO FISICA
1399482,MEDICINA
1404125,FISIOTERAPIA
1404134,BIOMEDICINA
1404140,CIENCIAS BIOLOGICAS
1404142,EDUCACAO FISICA
1404145,TEOLOGIA
1404146,GEOGRAFIA
1404147,FILOSOFIA
1404148,SOCIOLOGIA
1419823,NUTRICAO
1419829,NUTRICAO
1419833,EDUCACAO FISICA
1419874,BIOMEDICINA
1419879,BIOMEDICINA
1420235,NUTRICAO
1422397,DESIGN DE INTERIORES
1425409,NUTRICAO
1428359,LETRAS   LINGUA PORTUGUESA
1442999,COZINHA CONTEMPORANEA
1443961,GEOGRAFIA
1443967,GESTAO DA QUALIDADE
1443997,HISTORIA
1443998,CIENCIAS DA COMPUTACAO
1444005,GESTAO DA PRODUCAO INDUSTRIAL
1444018,CIENCIAS ECONOMICAS
1453286,BIOMEDICINA
1453292,RADIOLOGIA
1453295,ESTETICA E COSMETICA
1453296,FARMACIA
1453298,CIENCIAS BIOLOGICAS
1453299,CIENCIAS BIOLOGICAS
1453302,EDUCACAO FISICA
1457089,ARQUITETURA E URBANISMO
1457093,BIOMEDICINA
1458142,NUTRICAO
5001183,MEDICINA
5066,ENGENHARIA CIVIL
5068,ENGENHARIA ELETRICA
5071,PEDAGOGIA
5072,CIENCIAS BIOLOGICAS
5073,SERVICO SOCIAL
5074,TURISMO
5075,FONOAUDIOLOGIA
5077,HISTORIA
5079,CIENCIA DA COMPUTACAO
5080,DIREITO
5081,CIENCIAS CONTABEIS
5084,ADMINISTRACAO
5085,MODA
18595,ODONTOLOGIA
18596,PSICOLOGIA
18597,FISIOTERAPIA
22218,LETRAS   LINGUA PORTUGUESA
22219,JORNALISMO
26228,COMUNICACAO SOCIAL   PUBLICIDADE E PROPAGANDA
31087,LETRAS   PORTUGUES E INGLES
44863,ENGENHARIA DE PRODUCAO
45268,DIREITO
49029,TURISMO
49031,DIREITO
49033,PEDAGOGIA
51564,NUTRICAO
61361,CIENCIAS BIOLOGICAS
61603,ENFERMAGEM
61792,MODA
61884,ADMINISTRACAO
63400,DESIGN DE INTERIORES
65188,FISIOTERAPIA
65190,ENFERMAGEM
72142,EDUCACAO FISICA
74719,SERVICO SOCIAL
74729,NEGOCIOS IMOBILIARIOS
88531,NEGOCIOS IMOBILIARIOS
88533,PROCESSOS GERENCIAIS
88535,MARKETING
92759,DESIGN GRAFICO
102169,COMUNICACAO SOCIAL   JORNALISMO
102170,COMUNICACAO SOCIAL   PUBLICIDADE E PROPAGANDA
114168,ENGENHARIA DE PRODUCAO
114191,ENGENHARIA AMBIENTAL
119528,PSICOLOGIA
123432,ENGENHARIA DE COMPUTACAO
123434,ENGENHARIA DE PETROLEO
123440,ENGENHARIA AMBIENTAL
123444,DESIGN GRAFICO
123600,DESIGN DE INTERIORES
123629,ENGENHARIA DE PRODUCAO
123793,EDUCACAO FISICA
1130320,PROCESSOS GERENCIAIS
1179376,ENGENHARIA CIVIL
1179489,CIENCIAS CONTABEIS
1188379,GESTAO DE RECURSOS HUMANOS
1204380,ENGENHARIA CIVIL
1204381,CIENCIAS CONTABEIS
1258830,CIENCIAS CONTABEIS
1258870,ADMINISTRACAO
1258872,ENGENHARIA DE PRODUCAO
1258875,SISTEMAS DE INFORMACAO
1283192,ADMINISTRACAO
1283220,COMUNICACAO SOCIAL   PUBLICIDADE E PROPAGANDA
1283291,RELACÕES INTERNACIONAIS
1312998,ADMINISTRACAO
1312999,CIENCIAS CONTABEIS
1313000,PEDAGOGIA
1313001,GESTAO AMBIENTAL
1313002,GESTAO DE RECURSOS HUMANOS
1313003,GESTAO FINANCEIRA
1313028,LOGISTICA
1313029,MARKETING
1313030,NEGOCIOS IMOBILIARIOS
1322446,ARQUITETURA E URBANISMO
1322497,COMUNICACAO SOCIAL   JORNALISMO
1349805,ARQUITETURA E URBANISMO
1349807,BIOMEDICINA
1385682,NUTRICAO
1385684,RELACÕES INTERNACIONAIS
1385707,BIOMEDICINA
1385710,ENGENHARIA MECANICA
1385713,HISTORIA
1385720,LETRAS
1385721,LETRAS   PORTUGUES E INGLES
1411720,JOGOS DIGITAIS
1411754,PRODUCAO AUDIOVISUAL
1431642,ENGENHARIA DE PRODUCAO
1431648,ANALISE E DESENVOLVIMENTO DE SISTEMAS
1431653,GESTAO COMERCIAL
