CO_CURSO,NO_CURSO
44418,CIENCIAS SOCIAIS
52159,ARTES PLASTICAS
70638,COMUNICACAO SOCIAL   AUDIOVISUAL
85124,ENGENHARIA MECATRONICA
92262,GESTAO DO AGRONEGOCIO
92267,CIENCIAS NATURAIS
101550,CIENCIAS BIOLOGICAS
112158,ARTES VISUAIS
112160,EDUCACAO FISICA
112162,LETRAS
112164,MUSICA
112166,TEATRO
112170,PEDAGOGIA
112176,EDUCACAO DO CAMPO
112790,CIENCIAS NATURAIS
112792,GESTAO AMBIENTAL
112794,FARMACIA
112796,FISIOTERAPIA
112804,GESTAO DE SAUDE
112816,TERAPIA OCUPACIONAL
112818,ENFERMAGEM
112872,ENGENHARIA DE ENERGIA
112887,ENGENHARIA ELETRONICA
112889,ENGENHARIA AUTOMOTIVA
112891,ENGENHARIA DE SOFTWARE
122198,ARTES CENICAS
122200,ARTES CENICAS
122202,CIENCIAS AMBIENTAIS
122204,ENGENHARIA DE COMPUTACAO
122206,ENGENHARIA DE PRODUCAO
122208,GEOFISICA
122210,GEOGRAFIA
122212,GESTAO DE POLITICAS PUBLICAS
122214,HISTORIA
122218,MUSEOLOGIA
122220,MUSICA
300118,QUIMICA
300129,GEOGRAFIA
300151,ARTES PLASTICAS
1138293,ARQUITETURA E URBANISMO
1138344,SERVICO SOCIAL
1138345,TURISMO
1138346,FILOSOFIA
1140035,ENGENHARIA AMBIENTAL
1140048,GESTAO DE AGRONEGOCIOS
1140050,LETRAS LINGUA ESTRANGEIRA APLICADA
1140062,COMUNICACAO ORGANIZACIONAL
1140082,QUIMICA TECNOLOGICA
1140088,FARMACIA
1140091,GESTAO EM SAUDE COLETIVA
1173351,BIOTECNOLOGIA
1192413,EDUCACAO FISICA
1192414,ENGENHARIA QUIMICA
1192415,TEORIA
1192419,FONOAUDIOLOGIA
1269978,ENGENHARIA AEROESPACIAL
1314245,LETRAS   TRADUCAO ESPANHOL
1349598,LETRAS   LINGUA DE SINAIS BRASILEIRA/PORTUGUES COMO SEGUNDA LINGUA
1434981,FISICA
5000587,ABI   ENGENHARIA
5001034,ABI   ARTES PLASTICAS
5001035,ABI   ARTES CENICAS
5001037,ABI   CIENCIAS SOCIAIS
5001038,ABI   COMUNICACAO SOCIAL
5001039,ABI   DESIGN
5001040,ABI   FILOSOFIA
5001042,ABI   GEOGRAFIA
5001043,ABI   HISTORIA
